area_type,availability,location,size,society,total_sqft,bath,balcony,price,zone_name
Plot  Area,Ready To Move,rmc yard,7 Bedroom,,1900,3,0,162,Unknown
Super built-up  Area,Ready To Move,whitefield,3 BHK,BrlisCo,1760,3,2,160,Mahadevapura Zone
Super built-up  Area,Ready To Move,attur layout,7 BHK,,4000,8,1,150,Yelahanka Zone
Built-up  Area,Ready To Move,marathahalli,4 Bedroom,Vemes H,3090,4,,350,Mahadevapura Zone
Built-up  Area,Ready To Move,varsova layout,4 Bedroom,,2700,4,3,295,Outside BBMP Zones
Super built-up  Area,Ready To Move,hanumanth nagar,2 BHK,Saersel,1175,2,2,52.86,South Zone
Super built-up  Area,20-Dec,hebbal,4 BHK,Cehosy,4235,5,3,364,Yelahanka Zone
Super built-up  Area,Ready To Move,kr puram,2 BHK,SLontel,1100,2,2,45,Mahadevapura Zone
Plot  Area,Ready To Move,banashankari stage vi,8 Bedroom,,1200,7,1,175,South Zone
Super built-up  Area,Ready To Move,banashankari,2 BHK,,1450,2,2,50.75,South Zone
Super built-up  Area,Ready To Move,6th phase jp nagar,3 BHK,HMinebo,1810,3,3,131,Unknown
Super built-up  Area,Ready To Move,gunjur palya,3 BHK,,1426,2,3,71,Mahadevapura Zone
Built-up  Area,Ready To Move,sector 7 hsr layout,3 BHK,Saitya,2400,2,3,195,Unknown
Built-up  Area,Ready To Move,kalyan nagar,2 BHK,Satle C,1100,2,1,70,East Zone
Super built-up  Area,Ready To Move,electronic city phase ii,1 BHK,Srrlsnu,650,1,1,35,Bommanahalli Zone
Super built-up  Area,20-Dec,old madras road,3 BHK,Shmes O,1350,3,2,47.25,East Zone
Super built-up  Area,18-Dec,kaikondrahalli,2 BHK,,900,2,1,27,Mahadevapura Zone
Super built-up  Area,Ready To Move,billekahalli,2 BHK,Epwnee,1360,2,3,110,Bommanahalli Zone
Super built-up  Area,Ready To Move,yeshwanthpur,1 BHK,IBityin,674,1,1,36.85,Dasarahalli Zone
Super built-up  Area,18-Jul,whitefield,3 BHK,Prtates,1655,3,2,110,Mahadevapura Zone
Plot  Area,Ready To Move,cholanayakanahalli,2 Bedroom,,1300,2,2,95,Yelahanka Zone
Built-up  Area,19-Mar,panathur road,1 BHK,,936,1,0,53,Mahadevapura Zone
Super built-up  Area,Ready To Move,kaverappa layout,2 BHK,Kesomrn,1277,2,2,92,Outside BBMP Zones
Super built-up  Area,Ready To Move,gkvk layout,2 BHK,,1200,2,1,54,Yelahanka Zone
Super built-up  Area,Ready To Move,hormavu,2 BHK,,1015,2,1,39.08,Mahadevapura Zone
Super built-up  Area,Ready To Move,budigere,2 BHK,PrityTr,1153,2,2,60,Outside BBMP Zones
Super built-up  Area,Ready To Move,kengeri,2 BHK,,1035,2,1,51.5,Rajarajeshwari Nagar Zone
Built-up  Area,Ready To Move,kr puram,5 BHK,Skdia A,3300,3,1,255,Mahadevapura Zone
Super built-up  Area,Ready To Move,uttarahalli,2 BHK,,1150,2,1,46,South Zone
Super built-up  Area,Ready To Move,malleshwaram,2 BHK,,1020,2,1,80,West Zone
Super built-up  Area,18-Jun,old madras road,4 BHK,Brica E,3630 - 3800,6,0,212.5,East Zone
Super built-up  Area,Ready To Move,8th phase jp nagar,2 BHK,URncysi,1160,2,1,95,Unknown
Super built-up  Area,Ready To Move,bisuvanahalli,3 BHK,Prityel,1075,2,1,31,Outside BBMP Zones
Built-up  Area,Ready To Move,brookefield,2 BHK,Roeekbl,1225,2,2,72,Mahadevapura Zone
Plot  Area,Ready To Move,benson town,4 Bedroom,ImncyTa,5000,5,3,950,East Zone
Plot  Area,Ready To Move,vivek nagar,2 Bedroom,,1600,2,1,160,East Zone
Plot  Area,Ready To Move,malleshwaram,2 Bedroom,,600,1,0,90,West Zone
Built-up  Area,Ready To Move,nagappa reddy layout,3 BHK,Sanorpa,1350,3,2,60,Outside BBMP Zones
Super built-up  Area,21-Oct,kanakpura road,3 BHK,PrarePa,1300,3,1,69,South Zone
Super built-up  Area,18-Dec,channasandra,2 BHK,MVisear,830,2,1,36.28,Mahadevapura Zone
Super built-up  Area,Ready To Move,hennur road,2 BHK,Maity W,1155,2,1,69.18,Yelahanka Zone
Super built-up  Area,Ready To Move,sarakki nagar,4 BHK,Sowerew,3126,5,3,345,South Zone
Super built-up  Area,Ready To Move,jalahalli,2 BHK,Kuownri,905,2,2,55,Dasarahalli Zone
Super built-up  Area,Ready To Move,vijayanagar,3 BHK,GontsAp,1375,2,0,75,West Zone
Plot  Area,Immediate Possession,rajankunte,,,1575,,,31.11,Outside BBMP Zones
Super built-up  Area,18-Apr,electronic city,2 BHK,,1140,2,2,33.84,Bommanahalli Zone
Super built-up  Area,Ready To Move,hormavu,3 BHK,,1550,2,2,60,Mahadevapura Zone
Super built-up  Area,Ready To Move,kannamangala,2 BHK,VBownre,957,2,1,55,Outside BBMP Zones
Built-up  Area,Ready To Move,9th phase jp nagar,2 BHK,NaensGa,890,2,2,45,Unknown
Super built-up  Area,Ready To Move,kr puram,4 BHK,Thessmm,3000,4,2,235,Mahadevapura Zone
Super built-up  Area,Ready To Move,electronic city,2 BHK,GMown E,1070,2,1,55,Bommanahalli Zone
Plot  Area,Ready To Move,bendiganahalli,5 Bedroom,Brersld,2400,5,1,150,Outside BBMP Zones
Plot  Area,Ready To Move,domlur layout,4 Bedroom,,2400,4,2,595,East Zone
Super built-up  Area,Ready To Move,rachenahalli,2 BHK,ArariGo,925,2,1,37,Yelahanka Zone
Built-up  Area,Ready To Move,kammasandra,2 BHK,Vicony,1415,2,2,60,Outside BBMP Zones
Plot  Area,Ready To Move,mylasandra,1 Bedroom,,500,2,0,80,Rajarajeshwari Nagar Zone
Super built-up  Area,Ready To Move,thanisandra,2 BHK,SLaceda,1225,2,1,37,Yelahanka Zone
Built-up  Area,Ready To Move,hennur road,4 Bedroom,,2000,4,0,90,Yelahanka Zone
Super built-up  Area,19-Dec,whitefield,1 BHK,Oreldhi,840,1,1,57,Mahadevapura Zone
Plot  Area,Ready To Move,banashankari stage iii,9 Bedroom,,1560,9,,200,South Zone
Super built-up  Area,18-Dec,thanisandra,3 BHK,Bhe 2ko,1732,3,1,112,Yelahanka Zone
Plot  Area,Ready To Move,parappana agrahara,1 Bedroom,,1200,1,0,45,Bommanahalli Zone
Super built-up  Area,Ready To Move,bhoganhalli,2 BHK,Srhemay,1260,2,1,69.9,Mahadevapura Zone
Super built-up  Area,Ready To Move,doddanakundi industrial area 2,2 BHK,,1092,2,1,49,Unknown
Super built-up  Area,Ready To Move,kachanayakanahalli,2 BHK,ICoolon,827,2,0,34,Outside BBMP Zones
Super built-up  Area,Ready To Move,horamavu banaswadi,2 BHK,,1357,2,2,54,Mahadevapura Zone
Super built-up  Area,Ready To Move,chamrajpet,2 BHK,,650,1,1,40,West Zone
Super built-up  Area,Ready To Move,7th phase jp nagar,3 BHK,SrncyRe,1370,2,1,54.79,Unknown
Super built-up  Area,Ready To Move,whitefield,3 BHK,AjhalNa,1725,3,2,106,Mahadevapura Zone
Built-up  Area,Ready To Move,jalahalli,2 BHK,,1000,2,0,70,Dasarahalli Zone
Plot  Area,Ready To Move,tc palaya,1 Bedroom,,1350,1,0,55,Mahadevapura Zone
Plot  Area,Ready To Move,7th phase jp nagar,4 Bedroom,,3200,4,2,350,Unknown
Super built-up  Area,Ready To Move,bellandur,3 BHK,,1717,3,2,110,Mahadevapura Zone
Super built-up  Area,21-Dec,kanakpura road,2 BHK,PrarePa,700,2,1,34,South Zone
Super built-up  Area,Ready To Move,shanthi pura,2 BHK,ShtonDw,800,2,1,32,Unknown
Super built-up  Area,Ready To Move,rajaji nagar,3 BHK,PhestOn,2367,4,3,340,West Zone
Super built-up  Area,Ready To Move,sonnenahalli,3 BHK,DSgam S,1415,2,1,65,Outside BBMP Zones
Super built-up  Area,19-Dec,7th phase jp nagar,3 BHK,Puarero,1976,3,1,145,Unknown
Super built-up  Area,Ready To Move,kambipura,2 BHK,,883,2,1,37.01,Rajarajeshwari Nagar Zone
Super built-up  Area,Ready To Move,yelahanka,1 BHK,BCivell,700,1,1,38,Yelahanka Zone
Super built-up  Area,Ready To Move,sarjapur,3 BHK,Coa 3t,1445,3,1,50,Outside BBMP Zones
Super built-up  Area,19-Dec,battarahalli,3 BHK,PaontWa,2082,3,2,104,Mahadevapura Zone
Super built-up  Area,Ready To Move,hsr layout,2 BHK,NRosete,1140,2,2,46,Bommanahalli Zone
Super built-up  Area,Ready To Move,thanisandra,2 BHK,Bhmesy,933,2,1,66,Yelahanka Zone
Plot  Area,Ready To Move,nri layout,4 Bedroom,,800,5,1,95.5,Mahadevapura Zone
Built-up  Area,Ready To Move,electronic city phase ii,2 BHK,,1155,2,1,57,Bommanahalli Zone
Super built-up  Area,Ready To Move,whitefield,2 BHK,SMuilan,1130,2,1,36,Mahadevapura Zone
Super built-up  Area,Ready To Move,bannerghatta,2 BHK,,1200,2,2,73.2,South Zone
Super built-up  Area,Ready To Move,basaveshwara nagar yelahanka,2 BHK,,1055,2,1,43,Yelahanka Zone
Super built-up  Area,Ready To Move,rajaji nagar,3 BHK,SradeSr,1555,3,2,125,West Zone
Super built-up  Area,Ready To Move,bellandur,3 BHK,CVnetnc,1420,3,2,62,Mahadevapura Zone
Super built-up  Area,20-Apr,viviani road,3 BHK,,2214,3,2,350,Unknown
Super built-up  Area,18-Apr,devanahalli,1 BHK,Sabixtt,658,1,1,26.91,Outside BBMP Zones
Carpet  Area,18-Dec,bhoganhalli,2 BHK,Rosha I,896.9,2,1,78.74,Mahadevapura Zone
Plot  Area,Ready To Move,giri nagar,4 Bedroom,,4000,3,2,750,South Zone
Built-up  Area,Ready To Move,kr puram,2 BHK,SViseun,1035,2,2,40,Mahadevapura Zone
Plot  Area,Ready To Move,whitefield,4 Bedroom,MIntare,2064,5,2,225,Mahadevapura Zone
Super built-up  Area,Ready To Move,keshava nagar,3 BHK,ETens G,1839,3,3,160,Outside BBMP Zones
Super built-up  Area,Ready To Move,begur road,2 BHK,Dhalsh,1200,2,2,44,Bommanahalli Zone
Built-up  Area,Ready To Move,yelahanka new town,1 BHK,KHatsFl,488,1,1,20,Yelahanka Zone
Built-up  Area,Ready To Move,banashankari stage ii,3 BHK,,1200,2,1,198,South Zone
Built-up  Area,Ready To Move,sampangirama nagar,5 Bedroom,,2760,5,,140,East Zone
Super built-up  Area,Ready To Move,gunjur palya,2 BHK,Evvan V,993,2,2,42,Mahadevapura Zone
Super built-up  Area,Ready To Move,hoodi,2 BHK,Siiewag,1225,2,1,45,Mahadevapura Zone
Plot  Area,Ready To Move,tc palaya,2 Bedroom,,900,2,0,55,Mahadevapura Zone
Plot  Area,18-Feb,electronic city,9 Bedroom,,1200,13,,150,Bommanahalli Zone
Built-up  Area,Ready To Move,sompura,2 BHK,Suiseit,825,2,1,32,Outside BBMP Zones
Super built-up  Area,Ready To Move,bellandur,4 BHK,,3596,4,2,359,Mahadevapura Zone
Plot  Area,Ready To Move,hosahalli extension,6 Bedroom,,1350,4,1,203,South Zone
Super built-up  Area,Ready To Move,electronic city phase ii,3 BHK,SJmesst,1800,3,3,92,Bommanahalli Zone
Super built-up  Area,Ready To Move,shankarapuram,2 BHK,,925,2,1,100,South Zone
Super built-up  Area,21-Mar,kanakpura road,2 BHK,GolusLi,1167,2,1,63,South Zone
Super built-up  Area,Ready To Move,sarjapur,2 BHK,,1150,2,1,41,Outside BBMP Zones
Super built-up  Area,18-Aug,byatarayanapura,1 BHK,Hisic G,650,1,1,50,Yelahanka Zone
Built-up  Area,Ready To Move,sarjapur road,1 BHK,Shthi S,675,1,1,27,Bommanahalli Zone
Plot  Area,Ready To Move,doctor layout rayasandra,2 Bedroom,,2260,3,1,90,Unknown
Super built-up  Area,18-Apr,anwar layout,1 BHK,UKicte,660 - 780,1,0,32.39,Unknown
Plot  Area,Ready To Move,whitefield,3 Bedroom,Toindls,4800,4,2,600,Mahadevapura Zone
Super built-up  Area,Ready To Move,yelahanka new town,2 BHK,,1100,2,1,58,Yelahanka Zone
Super built-up  Area,Ready To Move,pillanna gardens,2 BHK,,550,1,1,20,Unknown
Super built-up  Area,Ready To Move,uttarahalli,3 BHK,Aklia R,1330,2,1,58,South Zone
Super built-up  Area,Ready To Move,koramangala,2 BHK,Proodt,1320,2,1,160,East Zone
Super built-up  Area,Ready To Move,ulsoor,3 BHK,,1685,4,2,185,East Zone
Super built-up  Area,Ready To Move,ullal uppanagar,6 BHK,,2400,5,2,75,Rajarajeshwari Nagar Zone
Super built-up  Area,18-Apr,banashankari,3 BHK,Bregae,1770,3,3,108,South Zone
Super built-up  Area,Ready To Move,prithvi layout,3 BHK,Prigh L,2100,3,3,125,East Zone
Super built-up  Area,Ready To Move,pai layout,2 BHK,,1000,2,3,42,Mahadevapura Zone
Plot  Area,Ready To Move,banashankari stage vi,4 Bedroom,,600,5,1,105,South Zone
Plot  Area,Ready To Move,ramamurthy nagar,4 Bedroom,,2916,5,1,230,Mahadevapura Zone
Super built-up  Area,Ready To Move,kanakpura road,3 BHK,SoapeSu,1419.59,2,1,65,South Zone
Super built-up  Area,Ready To Move,kodihalli,3 BHK,KAMESRI,1400,3,,81,East Zone
Built-up  Area,Ready To Move,horamavu agara,2 BHK,,750,2,1,37.49,Mahadevapura Zone
Super built-up  Area,Ready To Move,bannerghatta,2 BHK,,1070,2,1,87,South Zone
Super built-up  Area,18-Dec,kannamangala,3 BHK,Sonue A,1536,3,1,107,Outside BBMP Zones
Built-up  Area,Ready To Move,koramangala,3 BHK,K ncy R,1710,3,2,210,East Zone
Carpet  Area,Ready To Move,jp nagar,3 BHK,Saacy A,2400,3,3,196,South Zone
Super built-up  Area,18-Mar,sarjapur road,3 BHK,PualeSk,1618 - 1929,,,102.92,Bommanahalli Zone
Super built-up  Area,18-Apr,electronic city,2 BHK,Prarkun,1342,2,1,72,Bommanahalli Zone
Super built-up  Area,Ready To Move,chandra layout,3 BHK,,1600,3,2,130,West Zone
Super built-up  Area,19-Dec,kanakapura,1 BHK,GoityEt,938,1,1,50,South Zone
Super built-up  Area,Ready To Move,budigere,3 BHK,PrityTr,1820,3,2,99,Outside BBMP Zones
Super built-up  Area,Ready To Move,bhoganhalli,4 BHK,Pride S,2439,4,3,170,Mahadevapura Zone
Super built-up  Area,Ready To Move,kanakpura road,3 BHK,Puestol,1665,3,2,78,South Zone
Super built-up  Area,Ready To Move,basavangudi,3 BHK,,1850,3,2,150,South Zone
Built-up  Area,Ready To Move,bommanahalli,2 BHK,Alarke,1091,2,1,40,Bommanahalli Zone
Super built-up  Area,18-Apr,sarjapur road,2 BHK,PualeSk,1346,2,1,74.03,Bommanahalli Zone
Super built-up  Area,Ready To Move,rajaji nagar,3 BHK,Brway G,1720,3,2,224,West Zone
Built-up  Area,Ready To Move,brookefield,4 Bedroom,Goodsrb,3675,4,3,176,Mahadevapura Zone
Super built-up  Area,18-Jun,jp nagar,2 BHK,,1060,2,2,33.95,South Zone
Built-up  Area,18-Dec,whitefield,2 BHK,,1059,2,1,57,Mahadevapura Zone
Super built-up  Area,Ready To Move,hebbal,2 BHK,Prersis,1299,2,1,97,Yelahanka Zone
Super built-up  Area,Ready To Move,yelahanka,3 BHK,Niareum,1491,3,2,85,Yelahanka Zone
Built-up  Area,Ready To Move,basaveshwara nagar,2 BHK,,1200,2,2,85,West Zone
Built-up  Area,Ready To Move,yelahanka,4 Bedroom,,2088,5,0,110,Yelahanka Zone
Super built-up  Area,Ready To Move,hulimavu,1 BHK,,581,1,1,29,Bommanahalli Zone
Super built-up  Area,Ready To Move,devarabeesana halli,2 BHK,,1296,2,2,70,Mahadevapura Zone
Super built-up  Area,Ready To Move,doctors layout,2 BHK,Mavelr,1125,2,1,55,Bommanahalli Zone
Built-up  Area,Ready To Move,electronic city,3 BHK,Emodsel,1275,3,1,70,Bommanahalli Zone
Super built-up  Area,Ready To Move,kothanur,2 BHK,,1095,2,2,55,Yelahanka Zone
Plot  Area,Ready To Move,sarjapur road,5 Bedroom,AdlasRe,10000,4,2,975,Bommanahalli Zone
Super built-up  Area,Ready To Move,old madras road,2 BHK,Sastaat,1330,2,2,74,East Zone
Super built-up  Area,Ready To Move,marathahalli,2 BHK,,1135,2,2,60,Mahadevapura Zone
Super built-up  Area,Ready To Move,whitefield,1 BHK,,516,1,1,39,Mahadevapura Zone
Super built-up  Area,Ready To Move,doddanakundi industrial area 2,2 BHK,,1194,2,1,51,Unknown
Plot  Area,Ready To Move,banaswadi,5 Bedroom,,2250,5,,240,East Zone
Super built-up  Area,Ready To Move,electronic city,2 BHK,GMown E,770,1,1,38,Bommanahalli Zone
Super built-up  Area,Ready To Move,sarjapur road,4 BHK,Maana E,3930,5,2,330,Bommanahalli Zone
Super built-up  Area,18-May,chikkalasandra,3 BHK,,1355,3,2,54.2,South Zone
Built-up  Area,Ready To Move,abbigere,8 Bedroom,,3000,8,0,150,Dasarahalli Zone
Built-up  Area,Ready To Move,harlur,4 BHK,Prncyrn,2569,4,1,175,Bommanahalli Zone
Built-up  Area,Ready To Move,hebbal,4 Bedroom,,3758,4,2,450,Yelahanka Zone
Super built-up  Area,Ready To Move,whitefield,2 BHK,Sonviik,1116,2,3,51.91,Mahadevapura Zone
Super built-up  Area,Ready To Move,bhoganhalli,3 BHK,Prsun S,1707,3,2,115,Mahadevapura Zone
Plot  Area,18-Apr,aecs layout a-block singasandra,5 Bedroom,,1200,5,1,225,Unknown
Super built-up  Area,Ready To Move,sultan palaya,2 BHK,,1070,2,2,49,Yelahanka Zone
Built-up  Area,Ready To Move,whitefield,4 Bedroom,,6000,4,,410,Mahadevapura Zone
Super built-up  Area,18-Apr,tumkur road,3 BHK,Sahtsva,1240,2,1,83,Dasarahalli Zone
Super built-up  Area,19-Dec,jp nagar,2 BHK,Shestut,1300,2,1,91.65,South Zone
Super built-up  Area,Ready To Move,ambalipura,2 BHK,SJodsed,1700,2,2,76,Mahadevapura Zone
Super built-up  Area,Ready To Move,yeshwanthpur,3 BHK,IBityin,1383,2,2,76.18,Dasarahalli Zone
Built-up  Area,Ready To Move,banashankari stage i,5 Bedroom,,3000,4,3,170,South Zone
Built-up  Area,18-Dec,electronic city,2 BHK,,1200,2,1,34.65,Bommanahalli Zone
Super built-up  Area,Ready To Move,hulimavu,2 BHK,,935,2,3,45,Bommanahalli Zone
Super built-up  Area,Ready To Move,thigalarapalya,3 BHK,Prtanha,2072,4,2,151,Mahadevapura Zone
Built-up  Area,Ready To Move,ramanjaneyanagar,4 Bedroom,,2200,3,1,225,South Zone
Super built-up  Area,Ready To Move,jalahalli,1 BHK,Vaniai,615,1,1,46,Dasarahalli Zone
Super built-up  Area,Ready To Move,kr puram,2 BHK,CiaksRi,1116,2,1,45,Mahadevapura Zone
Super built-up  Area,18-Dec,whitefield,3 BHK,Asarqz,1639,3,2,107,Mahadevapura Zone
Super built-up  Area,Ready To Move,marathahalli,3 BHK,,1839,3,2,130,Mahadevapura Zone
Super built-up  Area,Ready To Move,byatarayanapura,2 BHK,,1300,2,2,63,Yelahanka Zone
Super built-up  Area,Ready To Move,horamavu agara,1 BHK,,625,1,1,27,Mahadevapura Zone
Super built-up  Area,18-May,thanisandra,1 BHK,Bhmesy,933,1,1,61,Yelahanka Zone
Super built-up  Area,Ready To Move,hosur road,3 BHK,Saageat,2289,3,3,180,Bommanahalli Zone
Built-up  Area,Ready To Move,ramamurthy nagar,3 Bedroom,,2316,3,0,125,Mahadevapura Zone
Super built-up  Area,18-May,electronic city,2 BHK,,1005,2,1,39.77,Bommanahalli Zone
Built-up  Area,Ready To Move,horamavu agara,2 BHK,SLoraFl,1080,2,1,38,Mahadevapura Zone
Plot  Area,Ready To Move,munnekollal,7 Bedroom,,1200,5,3,185,Mahadevapura Zone
Super built-up  Area,Ready To Move,vishwapriya layout,2 BHK,Prodsth,910,2,3,36,Bommanahalli Zone
Plot  Area,Ready To Move,hormavu,2 Bedroom,Grensak,1200,2,0,73,Mahadevapura Zone
Super built-up  Area,Ready To Move,electronic city,2 BHK,YCnce R,1110,2,1,39.9,Bommanahalli Zone
Super built-up  Area,Ready To Move,kothanur,2 BHK,,1142,2,2,56,Yelahanka Zone
Carpet  Area,Ready To Move,2nd stage nagarbhavi,5 Bedroom,,4000,4,3,240,Unknown
Plot  Area,18-Mar,hormavu,3 Bedroom,Prageta,1800,3,1,204,Mahadevapura Zone
Super built-up  Area,Ready To Move,aecs layout,2 BHK,CMard B,1005,2,1,55,Mahadevapura Zone
Built-up  Area,18-Apr,3rd block banashankari,3 BHK,,1626.6,3,1,133,Unknown
Super built-up  Area,Ready To Move,kothanur,2 BHK,,1074,2,2,54,Yelahanka Zone
Carpet  Area,Ready To Move,basavangudi,2 BHK,,1230,2,0,80,South Zone
Super built-up  Area,Ready To Move,electronic city,2 BHK,Itelaa,660,1,1,23,Bommanahalli Zone
Built-up  Area,Ready To Move,coconut grove layout,2 BHK,,1007,2,2,48,Unknown
Plot  Area,Ready To Move,2nd block hrbr layout,4 Bedroom,,1050,6,1,74,Unknown
Built-up  Area,20-Dec,whitefield,3 BHK,,1820,3,2,113,Mahadevapura Zone
Super built-up  Area,Ready To Move,basapura,2 BHK,Krtiqa,1100,2,1,60,Bommanahalli Zone
Plot  Area,Ready To Move,anjappa layout,2 Bedroom,,1348,2,0,100,South Zone
Super built-up  Area,Ready To Move,kasavanhalli,2 BHK,,1230,2,2,66.25,Mahadevapura Zone
Super built-up  Area,18-May,horamavu agara,3 BHK,,1176,2,1,37.62,Mahadevapura Zone
Super built-up  Area,Ready To Move,uttarahalli,3 BHK,Aklia R,1590,3,2,57,South Zone
Built-up  Area,Ready To Move,frazer town,2 BHK,,1200,2,1,78,East Zone
Built-up  Area,18-Jun,off sarjapur road,2 BHK,,1298,2,1,65,Bommanahalli Zone
Super built-up  Area,18-Jul,hosa road,2 BHK,Mahesr,1161,2,1,55.15,Bommanahalli Zone
Plot  Area,Ready To Move,himagiri meadows,4 Bedroom,,1350,4,0,175,Outside BBMP Zones
Plot  Area,Ready To Move,4th block hbr layout,5 Bedroom,,1200,5,2,138,Unknown
Super built-up  Area,Ready To Move,kothanur,2 BHK,,1285,2,1,60,Yelahanka Zone
Super built-up  Area,17-Jun,electronic city,3 BHK,Prarkun,1644,3,2,92.59,Bommanahalli Zone
Super built-up  Area,Ready To Move,kasavanhalli,3 BHK,,1819,3,1,150,Mahadevapura Zone
Super built-up  Area,Ready To Move,1st phase jp nagar,2 BHK,NCaveun,1205,2,1,85,Unknown
Super built-up  Area,Ready To Move,basavangudi,3 BHK,,2350,3,3,300,South Zone
Super built-up  Area,Ready To Move,uttarahalli,2 BHK,,1050,2,1,42,South Zone
Super built-up  Area,Ready To Move,raja rajeshwari nagar,2 BHK,Ely 3Em,1270,2,2,62,Rajarajeshwari Nagar Zone
Super built-up  Area,18-Jun,9th phase jp nagar,3 BHK,,1240,2,2,39.89,Unknown
Super built-up  Area,Ready To Move,jigani,3 BHK,DLhtsan,1221,3,3,70,Outside BBMP Zones
Built-up  Area,Ready To Move,hoysalanagar,3 BHK,RKntsrt,840,2,2,35,East Zone
Super built-up  Area,Ready To Move,kanakpura road,2 BHK,PuandHi,1339,2,2,63,South Zone
Super built-up  Area,Ready To Move,thigalarapalya,4 BHK,Prtanha,4303,5,,300,Mahadevapura Zone
Super built-up  Area,Ready To Move,haralur road,2 BHK,DSimaUl,1315,2,1,85,Bommanahalli Zone
Super built-up  Area,Ready To Move,raja rajeshwari nagar,2 BHK,,1250,2,2,68,Rajarajeshwari Nagar Zone
Super built-up  Area,Ready To Move,bisuvanahalli,2 BHK,Prityel,850,2,1,27,Outside BBMP Zones
Super built-up  Area,Ready To Move,7th phase jp nagar,3 BHK,Eladero,1600,2,2,110,Unknown
Built-up  Area,Ready To Move,electronic city,2 BHK,Prhtsua,1250,2,1,62,Bommanahalli Zone
Super built-up  Area,Ready To Move,motappa layout,3 BHK,Puodse,1312,2,1,56.5,Outside BBMP Zones
Super built-up  Area,Ready To Move,kadugodi,4 BHK,VSaya A,3000,4,0,134,Mahadevapura Zone
Built-up  Area,Ready To Move,electronic city phase ii,2 BHK,Prngshi,1300,2,2,28,Bommanahalli Zone
Built-up  Area,Ready To Move,whitefield,3 BHK,,1990,3,3,98,Mahadevapura Zone
Super built-up  Area,Ready To Move,medahalli,2 BHK,,760,2,2,38.5,Mahadevapura Zone
Plot  Area,Ready To Move,ambedkar nagar,4 Bedroom,Thessrm,5000,4,2,536,East Zone
Super built-up  Area,Ready To Move,kadugodi,3 BHK,InadeAr,1614,2,2,59,Mahadevapura Zone
Plot  Area,Ready To Move,judicial layout,4 Bedroom,,1500,3,2,162,Yelahanka Zone
Super built-up  Area,Ready To Move,basava nagar,3 BHK,Prvaska,1182,2,1,60.1,Mahadevapura Zone
Super built-up  Area,Ready To Move,avalahalli,2 BHK,PyonsCa,1053,2,1,46.29,Mahadevapura Zone
Built-up  Area,Ready To Move,6th phase jp nagar,1 BHK,,750,1,1,105,Unknown
Super built-up  Area,Ready To Move,gubbalala,3 BHK,MauilTr,2000,3,3,125,South Zone
Built-up  Area,18-May,electronic city phase ii,3 BHK,SNbay G,1940,4,3,116,Bommanahalli Zone
Super built-up  Area,18-Dec,hennur road,3 BHK,Shxorm,1590,3,2,105,Yelahanka Zone
Super built-up  Area,18-Oct,chennammana kere,2 BHK,,1035,2,2,52.79,South Zone
Super built-up  Area,Ready To Move,kothanur,2 BHK,,1075,2,2,53,Yelahanka Zone
Plot  Area,Ready To Move,tc palaya,2 Bedroom,,900,2,0,55,Mahadevapura Zone
Super built-up  Area,Ready To Move,raja rajeshwari nagar,3 BHK,Keave E,1260,2,1,62,Rajarajeshwari Nagar Zone
Plot  Area,Ready To Move,prashanth nagar,6 Bedroom,,1200,5,0,260,West Zone
Super built-up  Area,Ready To Move,thanisandra,3 BHK,Soitya,1702,3,2,107,Yelahanka Zone
Super built-up  Area,Ready To Move,bisuvanahalli,3 BHK,Prityel,1080,2,2,65,Outside BBMP Zones
Built-up  Area,Ready To Move,kasavanhalli,2 BHK,,1189,2,1,45,Mahadevapura Zone
Super built-up  Area,Ready To Move,tumkur road,2 BHK,Mairer,1035,2,1,39,Dasarahalli Zone
Super built-up  Area,18-Aug,hennur road,2 BHK,DSeldpr,1200,2,1,36,Yelahanka Zone
Plot  Area,Ready To Move,mahalakshmi layout,8 Bedroom,,4482,6,2,852,West Zone
Plot  Area,Ready To Move,michael palaya,3 Bedroom,,1200,3,0,200,Unknown
Super built-up  Area,20-Oct,kanakpura road,3 BHK,PrarePa,1300,3,1,69,South Zone
Super built-up  Area,19-Apr,yelahanka,2 BHK,LedorSa,1330,2,1,93.65,Yelahanka Zone
Super built-up  Area,Ready To Move,kaggalipura,3 BHK,Baowsig,1210,2,1,65,Outside BBMP Zones
Built-up  Area,Ready To Move,chikkalasandra,3 BHK,,1350,2,2,54.2,South Zone
Super built-up  Area,Ready To Move,kaval byrasandra,3 BHK,SyOnen,1900,2,2,65,East Zone
Super built-up  Area,Ready To Move,ambedkar nagar,3 BHK,SoechHa,1935,4,2,125,East Zone
Super built-up  Area,Ready To Move,doddanakundi industrial area 2,3 BHK,BrlonAv,1410,3,3,90,Unknown
Super built-up  Area,Ready To Move,narayanapura,2 BHK,AriosHe,1469,2,2,99.14,Yelahanka Zone
Super built-up  Area,Ready To Move,varthur,2 BHK,Hirio L,986,2,1,30,Mahadevapura Zone
Super built-up  Area,Ready To Move,rbi layout,3 BHK,Sasicha,1460,2,2,87,South Zone
Super built-up  Area,19-Jan,chandra layout,3 BHK,TiaksAa,1260,2,2,85.05,West Zone
Super built-up  Area,Ready To Move,chandapura,3 BHK,Riiew L,1345,2,2,39.5,Outside BBMP Zones
