area_type,availability,location,size,society,total_sqft,bath,balcony,price,zone_name,bhk,price_per_sqft
Super built-up  Area,Ready To Move,doddanakundi industrial area 2,3 BHK,BrlonAv,1419.0,3.0,2.0,85.0,Unknown,3,5990.133897110642
Built-up  Area,Ready To Move,versova layout,3 Bedroom,Unknown,2020.0,3.0,3.0,270.0,Unknown,3,13366.336633663366
Super built-up  Area,Ready To Move,kundalahalli,2 BHK,Dieldli,1047.0,2.0,2.0,91.0,Mahadevapura Zone,2,8691.499522445081
Super built-up  Area,Ready To Move,thanisandra,3 BHK,Soitya,1884.0,4.0,2.0,117.0,Yelahanka Zone,3,6210.1910828025475
Plot  Area,Ready To Move,malleshpalya,3 Bedroom,Unknown,1200.0,3.0,2.0,149.0,Mahadevapura Zone,3,12416.666666666666
Super built-up  Area,Ready To Move,bannerghatta road,2 BHK,SNity S,905.0,2.0,1.0,58.0,South Zone,2,6408.839779005525
Super built-up  Area,Ready To Move,jp nagar,3 BHK,Brwernn,1500.0,2.0,1.0,108.0,South Zone,3,7200.0
Built-up  Area,Ready To Move,chikkajala,1 BHK,Unknown,850.0,1.0,0.0,50.0,Yelahanka Zone,1,5882.35294117647
Built-up  Area,Ready To Move,tindlu,2 BHK,Unknown,1165.0,2.0,2.0,59.8,Yelahanka Zone,2,5133.0472103004295
Built-up  Area,Ready To Move,maruthi sevanagar,2 BHK,Unknown,933.0,2.0,0.0,55.0,East Zone,2,5894.962486602358
Super built-up  Area,Ready To Move,hennur road,3 BHK,Maity W,1305.0,2.0,1.0,77.0,Yelahanka Zone,3,5900.383141762452
Super built-up  Area,Ready To Move,billekahalli,2 BHK,Asity S,1125.0,2.0,1.0,65.0,Bommanahalli Zone,2,5777.777777777777
Super built-up  Area,Ready To Move,bsm extension,2 BHK,Raave E,865.0,2.0,2.0,33.0,West Zone,2,3815.0289017341042
Super built-up  Area,Ready To Move,jigani,3 BHK,DLhtsen,1245.0,3.0,3.0,66.0,Outside BBMP Zones,3,5301.204819277108
Super built-up  Area,Ready To Move,kalyan nagar,2 BHK,Unknown,8840.0,2.0,3.0,300.0,East Zone,2,3393.665158371041
Super built-up  Area,Ready To Move,udayagiri,3 BHK,Ozquaba,1145.0,2.0,2.0,60.0,Outside BBMP Zones,3,5240.174672489083
Built-up  Area,Ready To Move,aecs layout,3 BHK,Concyvi,2000.0,3.0,1.0,90.0,Mahadevapura Zone,3,4500.0
Super built-up  Area,Ready To Move,kundalahalli,3 BHK,Dieldli,1724.0,3.0,2.0,128.0,Mahadevapura Zone,3,7424.593967517401
Plot  Area,Ready To Move,madiwala,1 Bedroom,Unknown,400.0,1.0,1.0,75.0,Bommanahalli Zone,1,18750.0
Super built-up  Area,Ready To Move,sarjapur road,3 BHK,Shthi S,1270.0,2.0,1.0,54.0,Bommanahalli Zone,3,4251.968503937008
Super built-up  Area,Ready To Move,shankarapuram,2 BHK,Unknown,823.0,2.0,1.0,80.0,South Zone,2,9720.534629404618
Super built-up  Area,Ready To Move,7th phase jp nagar,2 BHK,Unknown,990.0,2.0,2.0,50.0,Unknown,2,5050.50505050505
Plot  Area,Ready To Move,tc palaya,3 Bedroom,Unknown,1200.0,2.0,0.0,66.0,Mahadevapura Zone,3,5500.0
Super built-up  Area,Ready To Move,kadubeesanahalli,2 BHK,Unknown,1140.0,2.0,1.0,78.0,Mahadevapura Zone,2,6842.105263157895
Super built-up  Area,Ready To Move,ambedkar nagar,3 BHK,SoechHa,1950.0,4.0,2.0,120.0,East Zone,3,6153.846153846154
Super built-up  Area,Ready To Move,yelahanka,3 BHK,Pyikad,1756.0,3.0,2.0,125.0,Yelahanka Zone,3,7118.451025056947
Built-up  Area,Ready To Move,kumaraswami layout,4 Bedroom,Unknown,2600.0,4.0,2.0,300.0,South Zone,4,11538.461538461539
Built-up  Area,Ready To Move,doddakannelli,2 BHK,Jyavet,1025.0,2.0,1.0,48.0,Bommanahalli Zone,2,4682.926829268293
Super built-up  Area,Ready To Move,sarjapur road,2 BHK,Unknown,1026.0,2.0,2.0,60.8,Bommanahalli Zone,2,5925.925925925926
Super built-up  Area,Ready To Move,sarjapur road,4 BHK,Adeatlm,3335.0,4.0,3.0,300.0,Bommanahalli Zone,4,8995.502248875562
Built-up  Area,Ready To Move,kodichikkanahalli,5 Bedroom,Unknown,2700.0,4.0,2.0,125.0,Bommanahalli Zone,5,4629.62962962963
Super built-up  Area,Ready To Move,kanakpura road,3 BHK,SPthara,1320.0,2.0,1.0,39.6,South Zone,3,3000.0
Built-up  Area,Ready To Move,bannerghatta,2 BHK,Srentea,1320.0,2.0,0.0,50.0,South Zone,2,3787.878787878788
Super built-up  Area,Ready To Move,kalena agrahara,3 BHK,Prillot,1804.0,3.0,2.0,155.0,Bommanahalli Zone,3,8592.017738359202
Super built-up  Area,Ready To Move,hsr layout,2 BHK,NRosete,1140.0,2.0,2.0,46.0,Bommanahalli Zone,2,4035.0877192982457
Super built-up  Area,Ready To Move,hebbal,4 BHK,Prersis,2375.0,4.0,2.0,189.0,Yelahanka Zone,4,7957.894736842105
Plot  Area,Ready To Move,chamundi nagar,3 Bedroom,Unknown,1750.0,3.0,2.0,120.0,Unknown,3,6857.142857142857
Super built-up  Area,Ready To Move,tc palaya,2 BHK,Unknown,1152.0,2.0,2.0,55.0,Mahadevapura Zone,2,4774.305555555556
Super built-up  Area,Ready To Move,thanisandra,2 BHK,Bhmesy,965.0,2.0,1.0,54.0,Yelahanka Zone,2,5595.854922279793
Super built-up  Area,Ready To Move,lingadheeranahalli,3 BHK,Soiewre,1684.0,3.0,1.0,120.0,Bommanahalli Zone,3,7125.890736342043
Super built-up  Area,Ready To Move,hennur road,3 BHK,MItatHa,1672.0,3.0,2.0,86.0,Yelahanka Zone,3,5143.540669856459
Super built-up  Area,Ready To Move,panathur,2 BHK,Saite G,1075.0,2.0,2.0,60.0,Mahadevapura Zone,2,5581.395348837209
Plot  Area,Ready To Move,sarjapur,3 Bedroom,PulokPu,1500.0,5.0,2.0,95.0,Outside BBMP Zones,3,6333.333333333333
Super built-up  Area,Ready To Move,hosur main road,3 BHK,Unknown,1464.0,3.0,2.0,56.0,Bommanahalli Zone,3,3825.136612021858
Super built-up  Area,Ready To Move,nagashetty halli,2 BHK,Unknown,750.0,2.0,0.0,40.0,Yelahanka Zone,2,5333.333333333333
Super built-up  Area,Ready To Move,yeshwanthpur,2 BHK,IBityin,1169.0,2.0,2.0,64.08,Dasarahalli Zone,2,5481.6082121471345
Super built-up  Area,Ready To Move,kengeri,2 BHK,Unknown,1160.0,2.0,2.0,40.6,Rajarajeshwari Nagar Zone,2,3500.0
Built-up  Area,Ready To Move,shampura,7 Bedroom,Unknown,2800.0,5.0,3.0,95.0,Yelahanka Zone,7,3392.8571428571427
Super built-up  Area,Ready To Move,mysore road,3 BHK,Brama P,1500.0,3.0,2.0,70.0,Rajarajeshwari Nagar Zone,3,4666.666666666667
Super built-up  Area,Ready To Move,domlur,3 BHK,Unknown,1850.0,3.0,1.0,180.0,East Zone,3,9729.72972972973
Built-up  Area,Ready To Move,rmv,3 BHK,Unknown,2750.0,5.0,2.0,550.0,West Zone,3,20000.0
Super built-up  Area,Ready To Move,bhoopsandra,3 BHK,E onsg,2150.0,3.0,0.0,170.0,Yelahanka Zone,3,7906.976744186047
Built-up  Area,Ready To Move,5th block hbr layout,6 BHK,Unknown,5100.0,5.0,3.0,300.0,Unknown,6,5882.35294117647
Plot  Area,Ready To Move,kadugodi,3 Bedroom,Unknown,1875.0,2.0,1.0,110.0,Mahadevapura Zone,3,5866.666666666667
Super built-up  Area,Ready To Move,hulimavu,3 BHK,Unknown,1260.0,2.0,1.0,82.0,Bommanahalli Zone,3,6507.936507936508
Built-up  Area,Ready To Move,kengeri,5 Bedroom,Unknown,2500.0,4.0,3.0,100.0,Rajarajeshwari Nagar Zone,5,4000.0
Super built-up  Area,Ready To Move,sarjapur road,2 BHK,Usquaya,1025.0,2.0,2.0,45.5,Bommanahalli Zone,2,4439.024390243902
Plot  Area,Ready To Move,postal colony,2 Bedroom,Unknown,1500.0,1.0,0.0,218.0,Outside BBMP Zones,2,14533.333333333334
Super built-up  Area,Ready To Move,begur,2 BHK,Prorath,815.0,2.0,1.0,40.0,Bommanahalli Zone,2,4907.9754601227
Built-up  Area,Ready To Move,kanakpura road,3 BHK,SoestSu,2000.0,3.0,3.0,105.0,South Zone,3,5250.0
Super built-up  Area,Ready To Move,malleshwaram,2 BHK,Unknown,1400.0,2.0,1.0,190.0,West Zone,2,13571.42857142857
Plot  Area,Ready To Move,varthur,4 Bedroom,Unknown,1740.0,4.0,3.0,175.0,Mahadevapura Zone,4,10057.471264367816
Super built-up  Area,Ready To Move,itpl,4 BHK,Toodyit,5667.5,5.0,0.0,300.0,Mahadevapura Zone,4,5293.33921482135
Super built-up  Area,Ready To Move,pavitra paradise,3 BHK,Unknown,2200.0,2.0,1.0,190.0,Unknown,3,8636.363636363636
Plot  Area,Ready To Move,hegde nagar,4 Bedroom,Sotosty,3500.0,5.0,2.0,450.0,Yelahanka Zone,4,12857.142857142857
Plot  Area,Ready To Move,vidyaranyapura,7 Bedroom,Unknown,3150.0,7.0,3.0,375.0,Yelahanka Zone,7,11904.761904761905
Plot  Area,Ready To Move,kanakpura road,2 Bedroom,Unknown,1200.0,2.0,0.0,62.0,South Zone,2,5166.666666666667
Super built-up  Area,Ready To Move,marathahalli,2 BHK,Unknown,1026.0,2.0,1.0,50.18,Mahadevapura Zone,2,4890.83820662768
Built-up  Area,Ready To Move,hulimavu,1 BHK,Unknown,450.0,1.0,1.0,20.0,Bommanahalli Zone,1,4444.444444444444
Super built-up  Area,Ready To Move,kr puram,2 BHK,LVniaar,1205.0,2.0,1.0,45.79,Mahadevapura Zone,2,3800.0
Super built-up  Area,Ready To Move,jakkur plantation,2 BHK,Reicace,1368.0,2.0,3.0,87.0,Yelahanka Zone,2,6359.649122807017
Built-up  Area,Ready To Move,anekal,1 BHK,Unknown,420.0,1.0,1.0,12.5,Outside BBMP Zones,1,2976.190476190476
Built-up  Area,Ready To Move,doddakallasandra,2 BHK,Unknown,1270.0,2.0,2.0,42.0,South Zone,2,3307.0866141732286
Super built-up  Area,Ready To Move,anekal,2 BHK,Unknown,614.0,1.0,1.0,28.0,Outside BBMP Zones,2,4560.260586319218
Super built-up  Area,Ready To Move,yelahanka,2 BHK,Juclend,1408.0,2.0,2.0,58.0,Yelahanka Zone,2,4119.318181818182
Super built-up  Area,Ready To Move,subramanyapura,3 BHK,Unknown,1223.0,2.0,2.0,42.81,South Zone,3,3500.408830744072
Built-up  Area,Ready To Move,reliaable tranquil layout,3 BHK,Sariana,1507.0,3.0,1.0,80.0,Bommanahalli Zone,3,5308.560053085601
Super built-up  Area,Ready To Move,kadubisnahalli,2 BHK,Unknown,1160.0,2.0,2.0,57.0,Mahadevapura Zone,2,4913.793103448276
Plot  Area,Ready To Move,kithaganur,3 Bedroom,Unknown,1200.0,3.0,1.0,70.0,Outside BBMP Zones,3,5833.333333333333
Built-up  Area,Ready To Move,poorna pragna layout,2 BHK,Pathira,960.0,2.0,3.0,50.0,Outside BBMP Zones,2,5208.333333333333
Super built-up  Area,Ready To Move,ngr layout,2 BHK,BSian M,1021.0,2.0,2.0,46.0,Bommanahalli Zone,2,4505.386875612145
Super built-up  Area,Ready To Move,hegde nagar,3 BHK,SoisoCa,2162.03,4.0,2.0,129.0,Yelahanka Zone,3,5966.614709324107
Super built-up  Area,Ready To Move,channasandra,2 BHK,Unm 2El,1065.0,2.0,1.0,36.0,Mahadevapura Zone,2,3380.281690140845
Super built-up  Area,Ready To Move,bannerghatta road,3 BHK,SNity S,1465.0,2.0,1.0,75.0,South Zone,3,5119.453924914676
Super built-up  Area,Ready To Move,marathahalli,3 BHK,Vaoodar,1800.0,3.0,2.0,95.0,Mahadevapura Zone,3,5277.777777777777
Super built-up  Area,Ready To Move,amblipura,2 BHK,IDldsin,1175.0,2.0,2.0,83.0,Bommanahalli Zone,2,7063.829787234043
Super built-up  Area,Ready To Move,lavelle road,3 BHK,Unknown,6729.0,4.0,2.0,900.0,East Zone,3,13374.944271065537
Plot  Area,Ready To Move,vijayanagar,4 Bedroom,Unknown,1500.0,4.0,1.0,360.0,West Zone,4,24000.0
Super built-up  Area,Ready To Move,sanjay nagar,2 BHK,BSiumly,1050.0,2.0,0.0,59.0,Yelahanka Zone,2,5619.047619047619
Super built-up  Area,Ready To Move,indira nagar,3 BHK,Goyalir,1650.0,3.0,1.0,150.0,East Zone,3,9090.90909090909
Super built-up  Area,Ready To Move,kr puram,3 BHK,Srystme,1827.0,3.0,2.0,97.0,Mahadevapura Zone,3,5309.250136836344
Super built-up  Area,Ready To Move,thanisandra,3 BHK,Soitya,1930.0,4.0,2.0,122.0,Yelahanka Zone,3,6321.243523316062
Built-up  Area,Ready To Move,kengeri,1 BHK,Unknown,550.0,1.0,1.0,16.75,Rajarajeshwari Nagar Zone,1,3045.4545454545455
Super built-up  Area,Ready To Move,kanakapura,3 BHK,SPavenc,1290.0,2.0,3.0,38.69,South Zone,3,2999.2248062015506
Built-up  Area,Ready To Move,raja rajeshwari nagar,3 BHK,Unknown,1021.0,3.0,2.0,59.0,Rajarajeshwari Nagar Zone,3,5778.648383937317
Super built-up  Area,Ready To Move,nagarbhavi,3 BHK,Unknown,1400.0,2.0,2.0,135.0,West Zone,3,9642.857142857143
Plot  Area,Ready To Move,doddaballapur,4 Bedroom,Vahid O,2400.0,3.0,0.0,200.0,Outside BBMP Zones,4,8333.333333333334
Built-up  Area,Ready To Move,jp nagar,3 BHK,RaosePr,1520.0,3.0,2.0,125.0,South Zone,3,8223.684210526315
Super built-up  Area,Ready To Move,epip zone,3 BHK,BrontLa,2710.0,3.0,2.0,177.0,Mahadevapura Zone,3,6531.365313653137
Super built-up  Area,Ready To Move,kenchenahalli,2 BHK,AriosPa,1150.0,2.0,2.0,57.0,Rajarajeshwari Nagar Zone,2,4956.521739130435
Super built-up  Area,Ready To Move,yelahanka,2 BHK,Unknown,1101.0,2.0,2.0,37.0,Yelahanka Zone,2,3360.581289736603
Super built-up  Area,Ready To Move,mahalakshmi layout,3 BHK,RSntsja,1200.0,2.0,3.0,110.0,West Zone,3,9166.666666666666
Super built-up  Area,Ready To Move,marathahalli,3 BHK,Vaoodar,1650.0,3.0,2.0,85.0,Mahadevapura Zone,3,5151.515151515152
Built-up  Area,Ready To Move,marathahalli,2 BHK,Aantspa,1270.0,2.0,2.0,80.0,Mahadevapura Zone,2,6299.212598425197
Super built-up  Area,Ready To Move,tumkur road,2 BHK,Sahtsva,992.0,2.0,1.0,70.0,Dasarahalli Zone,2,7056.451612903225
Super built-up  Area,Ready To Move,beml layout,3 BHK,Unknown,2000.0,3.0,2.0,85.0,Rajarajeshwari Nagar Zone,3,4250.0
Super built-up  Area,Ready To Move,geddalahalli,2 BHK,Unknown,893.0,2.0,2.0,34.5,Yelahanka Zone,2,3863.3818589025755
Built-up  Area,Ready To Move,bisuvanahalli,3 BHK,Prityel,1075.0,2.0,1.0,41.49,Outside BBMP Zones,3,3859.5348837209303
Built-up  Area,Ready To Move,kumaraswami layout,7 Bedroom,Unknown,3200.0,7.0,0.0,150.0,South Zone,7,4687.5
Super built-up  Area,Ready To Move,electronic city,2 BHK,MAnceun,1190.0,2.0,1.0,42.0,Bommanahalli Zone,2,3529.4117647058824
Super built-up  Area,Ready To Move,sarjapur road,3 BHK,Ascid P,1814.0,3.0,3.0,63.0,Bommanahalli Zone,3,3472.9878721058435
Built-up  Area,Ready To Move,rahmath nagar,3 BHK,Malah A,1400.0,3.0,2.0,98.0,Unknown,3,7000.0
Super built-up  Area,Ready To Move,murugeshpalya,3 BHK,Vauna F,1344.0,2.0,0.0,56.0,East Zone,3,4166.666666666667
Plot  Area,Ready To Move,whitefield,4 Bedroom,Prrry M,5400.0,5.0,3.0,475.0,Mahadevapura Zone,4,8796.296296296296
Super built-up  Area,Ready To Move,kanakpura road,3 BHK,PuandHi,1843.0,3.0,2.0,95.0,South Zone,3,5154.639175257732
Built-up  Area,Ready To Move,nagappa reddy layout,3 BHK,Ablmsol,1495.0,2.0,2.0,70.0,Outside BBMP Zones,3,4682.274247491639
Built-up  Area,Ready To Move,garudachar palya,3 BHK,BrlisMe,1610.0,2.0,3.0,119.0,Mahadevapura Zone,3,7391.304347826087
Super built-up  Area,Ready To Move,tindlu,2 BHK,Unknown,1050.0,2.0,2.0,55.0,Yelahanka Zone,2,5238.0952380952385
Super built-up  Area,Ready To Move,ramamurthy nagar,2 BHK,Unknown,1050.0,2.0,2.0,37.8,Mahadevapura Zone,2,3599.9999999999995
Built-up  Area,Ready To Move,kumaraswami layout,3 BHK,Unknown,1310.0,2.0,1.0,85.0,South Zone,3,6488.5496183206105
Super built-up  Area,Ready To Move,yelahanka,2 BHK,Rarthne,1104.0,2.0,2.0,58.0,Yelahanka Zone,2,5253.623188405797
Super built-up  Area,Ready To Move,kudlu,2 BHK,Unknown,1027.0,2.0,2.0,44.0,Bommanahalli Zone,2,4284.323271665044
Super built-up  Area,Ready To Move,hormavu,2 BHK,Savar S,1310.0,2.0,3.0,60.0,Mahadevapura Zone,2,4580.152671755725
Built-up  Area,Ready To Move,chikkanahalli,2 BHK,Unknown,1052.0,2.0,2.0,52.0,Unknown,2,4942.9657794676805
Super built-up  Area,Ready To Move,singasandra,3 BHK,Unknown,1464.0,3.0,2.0,56.0,Bommanahalli Zone,3,3825.136612021858
Super built-up  Area,Ready To Move,1st block koramangala,2 BHK,Unknown,1000.0,2.0,2.0,45.0,Unknown,2,4500.0
Super built-up  Area,Ready To Move,electronic city,2 BHK,DSgmax,1150.0,2.0,1.0,38.08,Bommanahalli Zone,2,3311.304347826087
Super built-up  Area,Ready To Move,varthur,2 BHK,Hirio L,986.0,2.0,1.0,31.0,Mahadevapura Zone,2,3144.0162271805275
Plot  Area,Ready To Move,banashankari stage iii,1 Bedroom,Unknown,1350.0,1.0,1.0,145.0,South Zone,1,10740.74074074074
Super built-up  Area,Ready To Move,akshaya nagar,3 BHK,Unknown,1893.0,4.0,2.0,95.0,Bommanahalli Zone,3,5018.489170628632
Super built-up  Area,Ready To Move,gollarapalya hosahalli,3 BHK,Mauner,1318.0,3.0,2.0,56.0,West Zone,3,4248.86191198786
Built-up  Area,Ready To Move,yelahanka,3 BHK,DSeak S,1325.0,2.0,2.0,58.0,Yelahanka Zone,3,4377.358490566037
Built-up  Area,Ready To Move,kereguddadahalli,2 BHK,N iewak,800.0,2.0,1.0,33.0,Dasarahalli Zone,2,4125.0
Super built-up  Area,Ready To Move,canara bank colony,3 BHK,Unknown,1300.0,3.0,2.0,42.25,South Zone,3,3250.0
Built-up  Area,Ready To Move,dodda banaswadi,3 BHK,Unknown,1300.0,2.0,2.0,60.0,East Zone,3,4615.384615384615
Super built-up  Area,Ready To Move,jalahalli east,2 BHK,ShshaSa,1010.0,2.0,1.0,52.0,Yelahanka Zone,2,5148.514851485149
Super built-up  Area,Ready To Move,banashankari,2 BHK,Goeesem,1260.0,2.0,3.0,75.0,South Zone,2,5952.380952380952
Built-up  Area,Ready To Move,ulsoor,4 Bedroom,Unknown,2500.0,4.0,0.0,170.0,East Zone,4,6800.0
Plot  Area,Ready To Move,halanayakanahalli,3 Bedroom,Asncy P,1520.0,3.0,1.0,165.0,Outside BBMP Zones,3,10855.263157894737
Super built-up  Area,Ready To Move,bellandur,3 BHK,GoncyRe,1665.0,3.0,2.0,85.0,Mahadevapura Zone,3,5105.105105105105
Super built-up  Area,Ready To Move,subramanyapura,3 BHK,Chllsev,1800.0,3.0,2.0,80.0,South Zone,3,4444.444444444444
Super built-up  Area,Ready To Move,harlur,2 BHK,Prncyrn,1197.0,2.0,1.0,75.0,Bommanahalli Zone,2,6265.664160401003
Super built-up  Area,Ready To Move,manayata tech park,2 BHK,Unknown,1050.0,2.0,2.0,45.0,Yelahanka Zone,2,4285.714285714285
Super built-up  Area,Ready To Move,thanisandra,3 BHK,Pronyt,1241.0,2.0,1.0,68.0,Yelahanka Zone,3,5479.45205479452
Super built-up  Area,Ready To Move,maithri layout,3 BHK,ItAnuna,1567.0,2.0,3.0,62.0,Outside BBMP Zones,3,3956.6049776643267
Super built-up  Area,Ready To Move,kasavanhalli,3 BHK,Salisal,1747.0,3.0,1.0,110.0,Mahadevapura Zone,3,6296.508299942759
Super built-up  Area,Ready To Move,hennur road,2 BHK,Koagati,980.0,2.0,1.0,51.0,Yelahanka Zone,2,5204.081632653061
Super built-up  Area,Ready To Move,ferrar nagar,4 BHK,Leton A,2360.0,3.0,2.0,185.0,Outside BBMP Zones,4,7838.983050847458
Built-up  Area,Ready To Move,surabhi layout,3 BHK,VDdonel,1760.0,3.0,3.0,90.0,West Zone,3,5113.636363636364
Super built-up  Area,Ready To Move,hennur,3 BHK,Bront A,1830.0,2.0,3.0,113.0,Yelahanka Zone,3,6174.863387978142
Super built-up  Area,Ready To Move,whitefield,2 BHK,SSthamh,1175.0,2.0,1.0,41.0,Mahadevapura Zone,2,3489.3617021276596
Super built-up  Area,Ready To Move,horamavu banaswadi,2 BHK,Unknown,1025.0,2.0,2.0,45.0,Mahadevapura Zone,2,4390.243902439024
Built-up  Area,Ready To Move,5th phase jp nagar,2 BHK,Rewelav,1010.0,2.0,2.0,57.0,Unknown,2,5643.564356435643
Super built-up  Area,Ready To Move,sarjapur road,2 BHK,VHinoel,1273.0,2.0,2.0,60.0,Bommanahalli Zone,2,4713.275726630008
Super built-up  Area,Ready To Move,air view colony,2 BHK,Myitece,1100.0,2.0,1.0,58.5,Unknown,2,5318.181818181818
Super built-up  Area,Ready To Move,electronic city phase ii,3 BHK,Brods W,1252.0,2.0,1.0,65.0,Bommanahalli Zone,3,5191.693290734825
Super built-up  Area,Ready To Move,1st phase jp nagar,4 BHK,Prhtsok,2615.0,5.0,3.0,222.0,Unknown,4,8489.483747609942
Super built-up  Area,Ready To Move,yelahanka,2 BHK,Unknown,1322.0,2.0,1.0,77.9,Yelahanka Zone,2,5892.586989409986
Plot  Area,Ready To Move,7th phase jp nagar,1 Bedroom,Unknown,1000.0,1.0,1.0,60.0,Unknown,1,6000.0
Super built-up  Area,Ready To Move,harlur,3 BHK,Prncyrn,1755.0,3.0,2.0,117.0,Bommanahalli Zone,3,6666.666666666667
Super built-up  Area,Ready To Move,electronic city phase ii,2 BHK,Rie 2ri,1135.0,2.0,2.0,46.0,Bommanahalli Zone,2,4052.863436123348
Plot  Area,Ready To Move,electronic city,4 Bedroom,Unknown,1200.0,4.0,1.0,125.0,Bommanahalli Zone,4,10416.666666666666
Super built-up  Area,Ready To Move,nagavarapalya,2 BHK,Unknown,1260.0,2.0,2.0,85.5,East Zone,2,6785.714285714285
Plot  Area,Ready To Move,hoodi,5 Bedroom,Unknown,3250.0,5.0,2.0,395.0,Mahadevapura Zone,5,12153.846153846154
Plot  Area,Ready To Move,ambedkar nagar,4 Bedroom,Thessrm,3500.0,4.0,2.0,550.0,East Zone,4,15714.285714285714
Super built-up  Area,Ready To Move,electronic city phase ii,3 BHK,Unknown,1305.0,3.0,1.0,65.0,Bommanahalli Zone,3,4980.842911877395
Built-up  Area,Ready To Move,ayappa nagar,2 BHK,Saionl,1236.0,2.0,1.0,50.0,Mahadevapura Zone,2,4045.3074433656957
Built-up  Area,Ready To Move,uttarahalli,2 BHK,Unknown,1125.0,1.0,2.0,45.0,South Zone,2,4000.0
Super built-up  Area,Ready To Move,beml layout,3 BHK,Unknown,2000.0,3.0,2.0,85.0,Rajarajeshwari Nagar Zone,3,4250.0
Built-up  Area,Ready To Move,thanisandra,6 Bedroom,Unknown,2999.97,6.0,0.0,110.0,Yelahanka Zone,6,3666.703333700004
Super built-up  Area,Ready To Move,kadugodi,2 BHK,MSingco,1150.0,2.0,2.0,42.0,Mahadevapura Zone,2,3652.1739130434785
Plot  Area,Ready To Move,9th block jayanagar,4 Bedroom,Unknown,1440.0,4.0,1.0,240.0,Unknown,4,16666.666666666668
Super built-up  Area,Ready To Move,hennur road,2 BHK,GSideS,1085.0,2.0,1.0,43.4,Yelahanka Zone,2,4000.0
Built-up  Area,Ready To Move,hebbal kempapura,3 BHK,Goateds,1785.0,3.0,0.0,165.0,Yelahanka Zone,3,9243.697478991597
Super built-up  Area,Ready To Move,malleshwaram,3 BHK,Sariaat,2475.0,4.0,3.0,300.0,West Zone,3,12121.212121212122
Super built-up  Area,Ready To Move,thanisandra,3 BHK,Soitya,1930.0,4.0,2.0,120.0,Yelahanka Zone,3,6217.616580310881
Super built-up  Area,Ready To Move,4th phase jp nagar,2 BHK,Unknown,600.0,4.0,1.0,70.0,Unknown,2,11666.666666666666
Plot  Area,Ready To Move,kadugondanahalli,2 Bedroom,Unknown,800.0,1.0,0.0,45.0,East Zone,2,5625.0
Built-up  Area,Ready To Move,kumaraswami layout,4 BHK,Unknown,2450.0,3.0,2.0,110.0,South Zone,4,4489.7959183673465
Super built-up  Area,Ready To Move,bannerghatta road,3 BHK,SNity S,1920.0,3.0,3.0,122.0,South Zone,3,6354.166666666667
Super built-up  Area,Ready To Move,thanisandra,1 BHK,Bhmesy,760.0,1.0,2.0,50.4,Yelahanka Zone,1,6631.578947368421
Built-up  Area,Ready To Move,sahakara nagar,2 BHK,Kencyes,1201.0,2.0,3.0,80.0,Yelahanka Zone,2,6661.1157368859285
Super built-up  Area,Ready To Move,hsr layout,2 BHK,AaineSi,1289.0,2.0,2.0,70.0,Bommanahalli Zone,2,5430.566330488751
Super built-up  Area,Ready To Move,budigere,3 BHK,PrityTr,1991.0,4.0,2.0,100.0,Outside BBMP Zones,3,5022.601707684581
Super built-up  Area,Ready To Move,kasavanhalli,2 BHK,HMonymp,1377.0,2.0,2.0,80.0,Mahadevapura Zone,2,5809.731299927378
Super built-up  Area,Ready To Move,cunningham road,3 BHK,LeDuvMy,2880.0,3.0,2.0,560.0,East Zone,3,19444.444444444445
Plot  Area,Ready To Move,laxmi sagar layout,3 Bedroom,Pudgear,1892.0,3.0,2.0,200.0,South Zone,3,10570.824524312897
Built-up  Area,Ready To Move,shivaji nagar,3 BHK,HMqueu,2176.0,3.0,3.0,348.0,East Zone,3,15992.64705882353
Super built-up  Area,Ready To Move,talaghattapura,3 BHK,Toreeic,3554.0,4.0,1.0,340.0,South Zone,3,9566.685424873382
Super built-up  Area,Ready To Move,thanisandra,2 BHK,MenueNo,1260.0,2.0,1.0,45.5,Yelahanka Zone,2,3611.1111111111113
Built-up  Area,Ready To Move,volagerekallahalli,2 BHK,PSterAs,1095.0,2.0,1.0,39.0,South Zone,2,3561.6438356164385
Super built-up  Area,Ready To Move,kr garden,2 BHK,Unknown,1050.0,2.0,2.0,65.0,Outside BBMP Zones,2,6190.476190476191
Super built-up  Area,Ready To Move,seegehalli,2 BHK,Sriferi,1176.0,2.0,2.0,50.0,Mahadevapura Zone,2,4251.700680272109
Super built-up  Area,Ready To Move,thanisandra,3 BHK,Soitya,1801.0,3.0,2.0,115.0,Yelahanka Zone,3,6385.341476957246
Super built-up  Area,Ready To Move,whitefield,2 BHK,Unknown,1315.0,2.0,3.0,55.0,Mahadevapura Zone,2,4182.509505703422
Super built-up  Area,Ready To Move,parappana agrahara,2 BHK,Peide L,1194.0,2.0,2.0,46.0,Bommanahalli Zone,2,3852.5963149078725
Plot  Area,Ready To Move,nri layout,2 Bedroom,Unknown,2400.0,2.0,1.0,125.0,Mahadevapura Zone,2,5208.333333333333
Plot  Area,Ready To Move,sarjapur road,4 Bedroom,AdlasRe,4250.0,4.0,2.0,610.0,Bommanahalli Zone,4,14352.941176470587
Super built-up  Area,Ready To Move,thanisandra,3 BHK,Soitya,1806.0,6.0,2.0,116.0,Yelahanka Zone,3,6423.034330011074
